,Keyboards,Electric Piano,Sawtooth,,,,100.00%,0.0,PW 5%,,2,9,,100.00%,0.0,TRUE,TRUE,FALSE,,None,None,,,,FALSE,,FALSE,Multi,630,50.00%,275,38.00%,0.00%,50.00%,0,0.33,50.00%,max,0,5.14,0.00%,0.66
,Keyboards,Harpsichord,PW 25%,,,,95.00%,-3.0,PW 25%,,,9,,100.00%,0.0,TRUE,TRUE,FALSE,,None,None,,,,FALSE,,FALSE,Multi,"2,400",69.00%,"2,400",69.00%,0.00%,100.00%,0,0.23,65.00%,max,0,2,0.00%,0.35
,Keyboards,Organ,Triangle,,,,100.00%,0.0,Triangle,,-2,,,100.00%,0.0,TRUE,FALSE,FALSE,,None,None,,,,FALSE,,FALSE,Multi,"20,000",100.00%,"20,000",100.00%,0.00%,0.00%,,,,,0.6,max,100.00%,0.4
,Keyboards,Piano,Sawtooth,,,,75.00%,-10.4,PW 15%,,1,2,,100.00%,0.0,TRUE,TRUE,FALSE,,None,None,,,,FALSE,,FALSE,Multi,40,10.00%,40,10.00%,0.00%,75.00%,0,5.22,0.00%,max,0,0.67,25.00%,0.5
,Leads,Brass Section,Square,,,-10,100.00%,0.0,PW 20%,,1,,10,100.00%,0.0,TRUE,FALSE,FALSE,,PW Osc1/Osc2,Triangle/Sine,5.5,45.00%,,FALSE,,FALSE,Multi,40,10.00%,40,10.00%,0.00%,100.00%,0.03,max,100.00%,0.6,0,max,100.00%,0.35
,Leads,Mellow 70s Lead,Square,,,10,100.00%,0.0,Square,,,,10,100.00%,0.0,TRUE,FALSE,FALSE,,None,,,,,TRUE,0.02,FALSE,Mono,"20,000",100.00%,"20,000",100.00%,0.00%,0.00%,,,,,0,max,100.00%,0.35
,Leads,Mono Solo,PW 30%,,,,100.00%,0.0,PW 20%,,,,4,100.00%,0.0,TRUE,FALSE,FALSE,,Pitch Osc1/Osc2,Triangle/Sine,4.5,,22 cents,TRUE,0.04,FALSE,Multi,40,10.00%,40,10.00%,45.00%,80.00%,0,0.2,70.00%,1,0,max,100.00%,0.02
,Leads,New Age Lead,Square,,,5,100.00%,0.0,Square,,,,-5,100.00%,0.0,TRUE,FALSE,FALSE,,PW Osc1/Osc2,Triangle/Sine,5.5,45.00%,,FALSE,,FALSE,Multi,"1,400",61.00%,"1,000",56.00%,65.00%,75.00%,0,1.2,20.00%,0.6,0.05,max,100.00%,0.35
,Leads,R&B Slide,Triangle,1,,,100.00%,0.0,Triangle,,3,,,85.00%,-6.0,TRUE,FALSE,FALSE,,None,,,,,TRUE,0.02,FALSE,Mono,"1,900",66.00%,"1,900",66.00%,45.00%,65.00%,1.2,max,100.00%,6.3,0.02,max,100.00%,0.6
,Leads,Screaming Sync,Sawtooth,-1,,,0.00%,-40.0,Square,,,,,100.00%,0.0,TRUE,TRUE,FALSE,,Pitch Osc2,Triangle/Sine,0.66,,4.5 cents,TRUE,0.02,TRUE,Mono,"20,000",100.00%,"20,000",100.00%,0.00%,0.00%,,,,,0,max,100.00%,0.6
